loan_id,customer_id,loan_type,principal_amount,interest_rate,tenor_months,disbursement_date,days_past_due,loan_status
LN000001,CUST00703,Business,814808.94,16.62,24.0,2025-11-25,0,Active
LN000002,CUST00369,Auto,15263.59,11.36,36.0,2026-01-18,54,Active
LN000003,CUST00299,Personal,42793.76,20.65,24.0,2025-12-30,0,Active
LN000004,CUST00647,Education,398714.09,12.21,18.0,2025-07-29,32,Active
LN000005,CUST00976,Home,35039.75,9.79,24.0,2026-02-23,0,Active
LN000006,CUST00844,Education,101101.71,10.77,60.0,2025-06-07,0,Active
LN000007,CUST00728,Business,1055936.93,9.79,36.0,2024-07-12,45,Active
LN000008,CUST00297,Home,23073.02,15.88,60.0,2024-08-15,0,Active
LN000009,CUST00704,Home,50153.12,15.21,18.0,2025-07-15,20,Active
LN000010,CUST00744,Business,36281.5,13.96,36.0,2024-10-08,0,Active
LN000011,CUST00164,Personal,75665.95,21.88,24.0,2025-12-13,0,Active
LN000012,CUST01074,Education,36691.26,16.31,18.0,2026-02-15,0,Active
LN000013,CUST00582,Auto,233390.34,20.57,12.0,2024-08-29,0,Active
LN000014,CUST00976,Education,489540.14,13.29,18.0,2024-11-25,0,Active
LN000015,CUST01156,Education,695012.78,19.3,48.0,2024-12-12,0,Active
LN000016,CUST00750,Home,717012.51,17.29,12.0,2025-09-08,0,Active
LN000017,CUST01096,Business,89284.51,17.54,24.0,2024-06-27,0,Active
LN000018,CUST01123,Education,844931.15,18.36,24.0,2025-11-20,0,Active
LN000019,CUST00452,Auto,213149.46,21.43,24.0,2026-03-12,0,Active
LN000020,CUST01090,Personal,874505.14,15.73,12.0,2025-04-05,0,Active
LN000021,CUST01008,Auto,32567.94,13.19,6.0,2025-07-08,0,Active
LN000022,CUST00898,Personal,46723.0,11.67,12.0,2026-05-24,0,Active
LN000023,CUST00761,Personal,310036.81,21.01,60.0,2024-06-18,0,Active
LN000024,CUST00147,Auto,28443.11,16.92,12.0,2025-02-05,69,Active
LN000025,CUST00510,Auto,943033.94,19.65,24.0,2024-04-03,2,Active
LN000026,CUST00427,Home,894181.93,12.59,48.0,2025-04-29,66,Active
LN000027,CUST00519,Auto,528143.23,21.15,18.0,2024-08-17,0,Closed
LN000029,CUST00974,Home,46372.64,15.21,12.0,2024-09-29,38,Active
LN000030,CUST00123,Auto,148980.54,21.06,48.0,2025-06-02,26,Active
LN000031,CUST00712,Personal,1008322.19,20.35,12.0,2024-05-12,12,Active
LN000032,CUST01145,Business,996221.67,12.61,48.0,2024-11-23,0,Active
LN000033,CUST01136,Auto,30519.51,17.88,36.0,2026-03-23,0,Active
LN000034,CUST01037,Personal,1174390.71,19.6,12.0,2024-05-11,12,Active
LN000035,CUST01104,Business,1055115.21,15.08,36.0,2025-11-19,35,Active
LN000036,CUST01072,Auto,12867.74,15.28,6.0,2026-03-25,0,Closed
LN000037,CUST00796,Education,21539.05,9.42,36.0,2025-01-16,9,Closed
LN000038,CUST00428,Personal,48340.18,15.92,60.0,2025-01-14,0,Active
LN000039,CUST00756,Education,19031.73,15.33,60.0,2026-04-03,0,Closed
LN000040,CUST01064,Auto,77136.52,11.42,48.0,2026-02-18,0,Active
LN000041,CUST00367,Business,11841.12,9.33,36.0,2024-04-25,25,Active
LN000042,CUST00214,Education,121499.01,21.93,12.0,2024-03-12,0,Active
LN000043,CUST00722,Home,879786.99,11.73,18.0,2024-11-15,0,Active
LN000044,CUST01118,Education,38492.42,9.86,24.0,2025-05-13,69,Active
LN000046,CUST00645,Home,125816.14,16.92,60.0,2024-04-02,77,Active
LN000047,CUST00729,Home,88515.39,20.47,18.0,2026-01-11,68,Active
LN000048,CUST00446,Home,21549.17,14.09,48.0,2026-03-14,36,Active
LN000049,CUST00196,Personal,39618.72,8.65,18.0,2024-08-13,19,Active
LN000051,CUST00625,Education,29088.96,11.41,18.0,2026-04-20,11,Active
LN000052,CUST00805,Education,403261.53,19.32,36.0,2024-04-22,0,Active
LN000053,CUST00170,Personal,662246.75,15.9,48.0,2024-10-24,0,Active
LN000054,CUST00277,Business,1036574.94,15.09,12.0,2024-11-06,0,Active
LN000055,CUST00497,Business,39506.33,14.93,60.0,2025-09-02,0,Active
LN000056,CUST00714,Education,68865.48,19.1,18.0,2025-07-08,25,Active
LN000057,CUST00906,Personal,40410.65,12.76,24.0,2026-01-03,68,Active
LN000058,CUST00231,Education,16460.18,19.85,12.0,2026-04-07,88,Active
LN000059,CUST00625,Home,1096850.09,17.1,6.0,2025-02-04,0,Active
LN000060,CUST00990,Personal,33650.14,16.79,12.0,2024-05-15,0,Active
LN000061,CUST00412,Personal,11757.61,18.46,18.0,2024-09-07,0,Active
LN000062,CUST00738,Business,86588.85,9.64,18.0,2026-05-13,0,Active
LN000063,CUST01089,Education,113122.04,8.66,12.0,2025-11-23,234,Written Off
LN000064,CUST00684,Auto,924383.78,12.5,48.0,2025-04-25,0,Active
LN000065,CUST01027,Home,963386.21,11.0,6.0,2024-02-21,59,Active
LN000066,CUST00462,Auto,42634.21,18.82,24.0,2025-06-17,0,Active
LN000067,CUST00466,Auto,171992.21,21.57,36.0,2025-09-28,0,Active
LN000068,CUST00284,Auto,33109.86,13.66,48.0,2024-11-24,40,Active
LN000069,CUST00298,Home,32675.58,18.96,12.0,2024-10-31,0,Active
LN000070,CUST00299,Home,6887.81,21.57,60.0,2026-05-02,74,Active
LN000071,CUST00561,Personal,123832.84,16.63,12.0,2024-03-26,0,Closed
LN000072,CUST00473,Personal,41529.64,17.36,12.0,2025-10-07,0,Active
LN000073,CUST00766,Business,36652.45,11.53,24.0,2025-05-01,0,Active
LN000074,CUST00553,Auto,603680.73,16.77,48.0,2025-10-17,33,Active
LN000075,CUST00666,Business,402727.35,11.17,24.0,2025-09-22,50,Active
LN000076,CUST01172,Personal,17865.81,19.52,36.0,2024-11-29,0,Active
LN000077,CUST01063,Personal,46351.69,11.91,48.0,2025-04-22,17,Active
LN000078,CUST00624,Business,633566.47,18.33,12.0,2025-02-14,0,Active
LN000079,CUST00926,Personal,120938.17,15.86,36.0,2024-05-23,0,Active
LN000080,CUST00663,Business,1134257.47,10.73,12.0,2026-05-07,23,Active
LN000081,CUST00336,Personal,41800.34,11.38,6.0,2024-05-12,0,Active
LN000082,CUST01048,Education,37976.07,15.82,24.0,2025-12-20,0,Active
LN000083,CUST00308,Personal,96745.2,16.13,12.0,2026-01-04,0,Active
LN000084,CUST00241,Education,109555.09,18.78,24.0,2025-11-06,31,Active
LN000085,CUST01011,Business,40809.31,11.83,36.0,2025-10-22,0,Active
