transaction_id,loan_id,payment_date,amount_paid,payment_method
TXN0000001,LN000001,2025-06-28,29353.05,Cash
TXN0000002,LN000001,2026-01-05,35106.61,Cheque
TXN0000003,LN000001,2026-06-23,25139.78,NACH
TXN0000004,LN000001,2025-01-13,35009.37,Cash
TXN0000005,LN000001,2025-09-05,32479.52,NACH
TXN0000006,LN000001,2025-07-04,31340.42,Cheque
TXN0000007,LN000002,2025-08-25,392.55,Cheque
TXN0000009,LN000002,2025-12-06,312.66,UPI
TXN0000010,LN000002,2025-04-20,371.7,NACH
TXN0000011,LN000002,2025-08-09,400.24,Cash
TXN0000012,LN000003,2026-06-10,1614.37,UPI
TXN0000013,LN000003,2024-10-01,1767.87,Cheque
TXN0000014,LN000003,2025-11-25,1293.25,NEFT
TXN0000015,LN000003,2026-05-15,1679.2,Cheque
TXN0000016,LN000003,2024-12-30,1581.42,UPI
TXN0000017,LN000003,2025-09-19,1484.77,NACH
TXN0000018,LN000003,2026-06-18,1460.51,NEFT
TXN0000019,LN000003,2024-10-17,1635.59,Cash
TXN0000020,LN000004,2025-02-17,22413.23,UPI
TXN0000021,LN000004,2026-01-25,19352.29,NEFT
TXN0000022,LN000004,2025-05-28,21899.44,NEFT
TXN0000023,LN000004,2025-08-09,18623.37,NACH
TXN0000024,LN000004,2025-06-09,16299.39,Cash
TXN0000025,LN000004,2026-06-16,15982.39,NEFT
TXN0000026,LN000004,2025-11-14,15903.53,NEFT
TXN0000027,LN000004,2025-07-21,18452.76,NEFT
TXN0000028,LN000004,2026-05-15,18120.07,UPI
TXN0000029,LN000004,2026-01-09,21071.55,NEFT
TXN0000030,LN000005,2025-11-04,1401.57,NACH
TXN0000031,LN000006,2025-07-25,1209.51,NEFT
TXN0000032,LN000006,2026-06-13,1309.93,Cash
TXN0000033,LN000006,2026-05-20,1341.27,UPI
TXN0000034,LN000007,2025-03-17,26153.92,Cash
TXN0000035,LN000007,2025-06-24,22015.71,NEFT
TXN0000036,LN000007,2024-08-27,21907.15,Cheque
TXN0000037,LN000007,2025-09-30,30221.09,NEFT
TXN0000038,LN000007,2025-02-03,28788.1,NEFT
TXN0000039,LN000007,2024-10-18,22386.72,Cheque
TXN0000040,LN000007,2025-05-21,24705.95,NEFT
TXN0000041,LN000007,2024-11-23,24182.94,Cash
TXN0000042,LN000007,2025-11-17,28652.6,UPI
TXN0000043,LN000007,2024-09-10,25769.98,Cheque
TXN0000044,LN000007,2024-10-01,21844.62,Cheque
TXN0000045,LN000008,2025-09-04,368.65,NEFT
TXN0000046,LN000008,2025-04-02,322.6,UPI
TXN0000047,LN000008,2025-12-26,304.57,NEFT
TXN0000048,LN000008,2024-08-02,319.72,NACH
TXN0000049,LN000008,2025-01-04,336.18,NACH
TXN0000050,LN000008,2025-09-02,315.37,UPI
TXN0000051,LN000008,2025-07-17,301.74,NEFT
TXN0000052,LN000008,2024-10-31,322.82,NACH
TXN0000053,LN000009,2026-02-14,1969.09,Cash
TXN0000054,LN000009,2025-03-02,2703.73,NACH
TXN0000055,LN000009,2024-11-14,2117.1,NACH
TXN0000056,LN000009,2025-11-09,1993.21,Cash
TXN0000057,LN000010,2025-04-18,936.06,Cheque
TXN0000058,LN000011,2024-12-22,3060.93,Cash
TXN0000059,LN000011,2025-09-16,3104.95,Cash
TXN0000060,LN000011,2025-10-08,2751.49,NACH
TXN0000061,LN000011,2025-02-07,2433.54,Cheque
TXN0000062,LN000011,2026-04-12,3020.43,NEFT
TXN0000063,LN000011,2025-03-24,2979.03,UPI
TXN0000064,LN000011,2024-11-10,2478.68,NACH
TXN0000065,LN000011,2024-12-06,3203.8,NEFT
TXN0000066,LN000011,2024-10-15,2322.09,Cash
TXN0000067,LN000011,2025-11-27,3291.28,NEFT
TXN0000068,LN000011,2025-05-06,3156.18,UPI
TXN0000069,LN000011,2026-06-13,2966.0,Cash
TXN0000070,LN000012,2025-05-18,2096.62,NACH
TXN0000071,LN000012,2024-08-16,1942.21,NEFT
TXN0000072,LN000012,2026-04-01,1562.76,NEFT
TXN0000073,LN000012,2026-01-23,1742.33,NEFT
TXN0000074,LN000012,2024-09-09,1477.89,Cash
TXN0000075,LN000012,2026-03-22,1704.88,NEFT
TXN0000076,LN000012,2026-06-03,1955.97,Cash
TXN0000077,LN000012,2024-10-28,1702.58,NACH
TXN0000078,LN000012,2024-11-07,1662.53,UPI
TXN0000079,LN000012,2024-11-04,1851.63,NEFT
TXN0000080,LN000013,2025-11-13,19551.72,Cheque
TXN0000081,LN000013,2025-04-09,13938.34,Cheque
TXN0000082,LN000013,2026-05-14,16238.41,UPI
TXN0000083,LN000013,2025-02-13,14691.61,Cheque
TXN0000084,LN000014,2025-11-12,25656.63,UPI
TXN0000085,LN000014,2026-06-17,20044.04,Cash
TXN0000086,LN000014,2026-01-07,25365.86,UPI
TXN0000087,LN000014,2024-09-21,21761.78,NACH
